Category: All categories

Week,covid vaccine: (Worldwide)
2020-12-20,28
2020-12-27,36
2021-01-03,47
2021-01-10,70
2021-01-17,69
2021-01-24,67
2021-01-31,67
2021-02-07,71
2021-02-14,64
2021-02-21,70
2021-02-28,91
2021-03-07,100
2021-03-14,93
2021-03-21,94
2021-03-28,98
2021-04-04,93
2021-04-11,73
2021-04-18,65
2021-04-25,98
2021-05-02,71
2021-05-09,68
2021-05-16,69
2021-05-23,62
2021-05-30,63
2021-06-06,57
2021-06-13,54
2021-06-20,79
2021-06-27,46
2021-07-04,41
2021-07-11,44
2021-07-18,50
2021-07-25,54
2021-08-01,93
2021-08-08,56
2021-08-15,64
2021-08-22,60
2021-08-29,72
2021-09-05,44
2021-09-12,44
2021-09-19,40
2021-09-26,36
2021-10-03,25
2021-10-10,29
2021-10-17,30
2021-10-24,21
2021-10-31,23
2021-11-07,22
2021-11-14,22
2021-11-21,19
2021-11-28,23
2021-12-05,20
2021-12-12,48
